NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
UCHA2|15493000       |D100671C|AFG|64 54 07.1 |146 21 40.8 |CHENA R NR TWO RIVERS AK
WADA2|15320100       |17DD0376|AFG|64 07 06   |141 33 13   |WADE C TRIB NR CHICKEN AK
WULA2|15747000       |1735B1D4|AFG|67 52 34   |163 40 28   |WULIK R BL TUTAK C NR KIVALINA AK
YEAA2|15356000       |170EA77A|AFG|64 47 22   |141 11 52   |YUKON R AT EAGLE AK
YRBA2|15453500       |173910B0|AFG|65 52 32   |149 43 04   |YUKON R NR STEVENS VILLAGE AK
AAKA2|15055500       |1734D6C8|AJK|58 51 07   |134 42 31   |ANTLER R BL ANTLER LK NR AUKE BAY AK
ALEA2|15129120       |163B92F2|AJK|59 11 34.1 |138 20 02.1 |ALSEK R AT DRY BAY NR YAKUTAT AK
CKTA2|15056500       |162A69C0|AJK|59 24 55   |135 55 45   |CHILKAT R NR KLUKWAN AK
DANA2|15129300       |DE57A3D8|AJK|59 25 03   |139 01 03   |DANGEROUS R AT HARLEQUIN LK OUTLET NR YAKUTAT AK
FCKA2|15072000       |163BEAB0|AJK|55 23 31   |131 11 38   |FISH C NR KETCHIKAN AK
GOVA2|15058700       |172D8776|AJK|55 20 34   |131 41 56   |GOVERNMENT C NR KETCHIKAN AK
HCCA2|15086225       |162A8A32|AJK|55 54 31   |132 55 51   |HATCHERY C AT FOREST SVC RD 23 NR COFFMAN COVE AK
IRVA2|15087700       |171B07DC|AJK|57 03 12   |135 18 52   |INDIAN R AT SITKA AK
ITAA2|15129280       |17DC771C|AJK|59 18 07.3 |139 02 44.5 |ITALIO R AB MOUTH NR YAKUTAT AK
LSCA2|15068040       |1738C422|AJK|55 31 10   |131 31 22   |LEASK CREEK AT SHELTER COVE NR KETCHIKAN AK
MNDA2|15052500       |176272BC|AJK|58 25 47   |134 34 22   |MENDENHALL R NR AUKE BAY AK
OTCA2|15085697       |178C83DA|AJK|55 28 04.7 |132 51 25.5 |HARRIS R AT HARRIS RIVER CAMPGROUND NR HOLLIS AK
SAMA2|15057596       |DD3F8146|AJK|58 26 42   |135 44 24   |SALMON R AT GUSTAVUS AK
SCKA2|15081497       |1715B03A|AJK|55 48 05   |133 06 31   |STANEY C NR KLAWOCK AK
SCSA2|15088000       |16E86682|AJK|57 03 05   |135 13 40   |SAWMILL C NR SITKA AK
SLMA2|15008000       |DDE47190|AJK|56 01 34   |130 03 55   |SALMON R NR HYDER AK
SRYA2|15129500       |170EC29C|AJK|59 35 12   |139 29 33   |SITUK R NR YAKUTAT AK
STKA2|15024800       |173940CC|AJK|56 42 29   |132 07 49   |STIKINE R NR WRANGELL AK
TKUA2|15041200       |173400A0|AJK|58 32 19   |133 42 00   |TAKU R NR JUNEAU AK
TYAA2|15056210       |173132FA|AJK|59 30 43   |135 20 40   |TAIYA R NR SKAGWAY AK
TYWA2|15019990       |171763A6|AJK|56 12 00   |131 30 24   |TYEE LK OUTLET NR WRANGELL AK
URWA2|15015595       |1629D392|AJK|56 14 26   |130 52 49   |UNUK R BL BLUE R NR WRANGELL AK
